model,process_num,gold_nodes,gold_edges,gold_density,gold_cyclomatic,gen_nodes,gen_edges,gen_density,gen_cyclomatic,node_similarity,edge_similarity,structural_similarity,gold_task_coverage,gold_event_coverage,gold_gateway_diversity,gold_unique_gateway_types,gold_unique_task_types,gold_unique_event_types,gold_named_ratio,gen_task_coverage,gen_event_coverage,gen_gateway_diversity,gen_unique_gateway_types,gen_unique_task_types,gen_unique_event_types,gen_named_ratio,task_coverage_similarity,event_coverage_similarity,gateway_diversity_similarity,named_ratio_similarity,semantic_richness_score
mistral-large,1,16,18,0.075,3,11,10,0.091,0,0.688,0.556,0.622,8,2,6,2,1,2,0.625,7,3,1,1,4,2,1.0,0.875,0.667,0.167,0.625,0.583
mistral-large,2,26,31,0.048,6,23,24,0.047,2,0.885,0.774,0.829,16,2,8,2,1,2,0.692,14,3,6,1,3,2,1.0,0.875,0.667,0.75,0.692,0.746
mistral-large,3,21,24,0.057,4,10,10,0.111,1,0.476,0.417,0.446,11,2,8,2,1,2,0.619,7,2,1,1,2,2,1.0,0.636,1.0,0.125,0.619,0.595
mistral-large,4,20,24,0.063,5,11,10,0.091,0,0.55,0.417,0.483,10,2,8,2,1,2,0.6,8,3,0,0,2,2,1.0,0.8,0.667,0.0,0.6,0.517
mistral-large,5,17,19,0.07,3,13,13,0.083,1,0.765,0.684,0.724,11,2,4,1,1,2,0.765,8,3,2,1,3,2,1.0,0.727,0.667,0.5,0.765,0.665
mistral-large,6,20,23,0.061,4,12,12,0.091,1,0.6,0.522,0.561,10,2,8,2,1,2,0.6,8,3,1,1,2,2,1.0,0.8,0.667,0.125,0.6,0.548
mistral-large,7,33,42,0.04,10,12,11,0.083,0,0.364,0.262,0.313,13,2,18,2,1,2,0.455,9,3,0,0,3,2,1.0,0.692,0.667,0.0,0.455,0.453
mistral-large,8,18,20,0.065,3,14,15,0.082,2,0.778,0.75,0.764,12,2,4,2,1,2,0.778,11,2,1,1,3,2,1.0,0.917,1.0,0.25,0.778,0.736
mistral-large,9,23,27,0.053,5,17,17,0.062,1,0.739,0.63,0.684,13,2,8,2,1,2,0.652,11,3,3,1,2,2,1.0,0.846,0.667,0.375,0.652,0.635
mistral-large,10,23,28,0.055,6,17,17,0.062,1,0.739,0.607,0.673,9,2,12,2,1,2,0.478,11,4,2,1,2,3,1.0,0.818,0.5,0.167,0.478,0.491
mistral-large,11,26,33,0.051,8,37,34,0.026,2,0.703,0.971,0.837,12,2,12,2,1,2,0.538,25,7,5,1,3,2,1.0,0.48,0.286,0.417,0.538,0.43
mistral-large,12,22,26,0.056,5,20,24,0.063,5,0.909,0.923,0.916,10,2,10,2,1,2,0.545,13,2,5,2,2,2,1.0,0.769,1.0,0.5,0.545,0.704
mistral-large,13,15,16,0.076,2,11,11,0.1,1,0.733,0.688,0.71,9,2,4,1,1,2,0.733,8,2,1,1,4,2,1.0,0.889,1.0,0.25,0.733,0.718
mistral-large,14,14,14,0.077,1,10,10,0.111,1,0.714,0.714,0.714,10,2,2,1,1,2,0.857,7,2,1,1,2,2,1.0,0.7,1.0,0.5,0.857,0.764
mistral-large,15,16,18,0.075,3,15,13,0.062,0,0.938,0.722,0.83,10,2,4,2,1,2,0.75,9,5,1,1,3,2,1.0,0.9,0.4,0.25,0.75,0.575
mistral-large,16,40,49,0.031,10,35,40,0.034,7,0.875,0.816,0.846,24,2,14,2,1,2,0.65,22,4,9,2,3,2,1.0,0.917,0.5,0.643,0.65,0.677
mistral-large,17,43,51,0.028,9,39,42,0.028,6,0.907,0.824,0.865,25,2,16,2,1,2,0.628,24,7,8,2,4,2,1.0,0.96,0.286,0.5,0.628,0.593
mistral-large,18,50,60,0.024,11,40,42,0.027,6,0.8,0.7,0.75,26,2,22,2,1,2,0.56,25,8,7,2,4,3,1.0,0.962,0.25,0.318,0.56,0.522
mistral-large,19,18,21,0.069,4,17,19,0.07,3,0.944,0.905,0.925,8,2,8,2,1,2,0.556,10,2,5,2,2,2,1.0,0.8,1.0,0.625,0.556,0.745
mistral-large,20,22,26,0.056,5,12,13,0.098,2,0.545,0.5,0.523,13,2,7,2,1,2,0.682,8,2,2,1,2,2,1.0,0.615,1.0,0.286,0.682,0.646
mistral-large,21,15,17,0.081,3,18,21,0.069,4,0.833,0.81,0.821,7,2,6,3,1,2,0.667,10,2,6,2,2,2,1.0,0.7,1.0,1.0,0.667,0.842
mistral-large,22,20,20,0.053,1,13,15,0.096,3,0.65,0.75,0.7,9,8,3,2,1,3,0.95,7,3,3,1,4,3,1.0,0.778,0.375,1.0,0.95,0.776
mistral-large,23,16,16,0.067,2,11,10,0.091,0,0.688,0.625,0.656,7,5,4,1,1,3,0.875,7,3,1,1,3,2,1.0,1.0,0.6,0.25,0.875,0.681
mistral-large,24,30,28,0.032,1,16,15,0.062,0,0.533,0.536,0.535,18,11,1,1,1,3,0.967,13,3,0,0,3,3,1.0,0.722,0.273,0.0,0.967,0.49
mistral-large,25,32,39,0.039,8,32,30,0.03,0,1.0,0.769,0.885,13,3,16,2,2,3,0.688,18,11,3,1,4,4,1.0,0.722,0.273,0.188,0.688,0.468
mistral-large,26,22,26,0.056,5,26,25,0.038,1,0.846,0.962,0.904,12,2,8,2,2,2,0.591,14,9,3,2,4,4,1.0,0.857,0.222,0.375,0.591,0.511
mistral-large,27,33,44,0.042,12,24,28,0.051,6,0.727,0.636,0.682,11,2,20,2,2,2,0.667,12,6,6,2,3,3,1.0,0.917,0.333,0.3,0.667,0.554
mistral-large,28,29,35,0.043,7,25,26,0.043,3,0.862,0.743,0.802,15,2,12,3,2,2,0.655,12,9,4,2,3,3,1.0,0.8,0.222,0.333,0.655,0.503
mistral-large,29,35,50,0.042,16,19,18,0.053,1,0.543,0.36,0.451,21,2,12,2,3,2,0.714,14,4,1,1,2,2,1.0,0.667,0.5,0.083,0.714,0.491
mistral-large,30,22,26,0.056,5,22,25,0.054,4,1.0,0.962,0.981,9,5,8,2,2,3,0.818,12,5,5,2,4,3,1.0,0.75,1.0,0.625,0.818,0.798
mistral-large,31,32,40,0.04,9,33,35,0.033,5,0.97,0.875,0.922,15,2,15,2,2,2,0.656,20,7,6,2,4,3,1.0,0.75,0.286,0.4,0.656,0.523
mistral-large,32,31,37,0.04,7,38,49,0.035,14,0.816,0.755,0.785,15,2,14,3,3,2,0.645,24,8,6,2,4,4,1.0,0.625,0.25,0.429,0.645,0.487
mistral-large,33,25,29,0.048,5,26,28,0.043,5,0.962,0.966,0.964,13,2,10,2,3,2,0.76,15,5,6,2,3,3,1.0,0.867,0.4,0.6,0.76,0.657
mistral-large,34,23,29,0.057,7,20,20,0.053,2,0.87,0.69,0.78,11,2,10,2,3,2,0.739,11,5,4,2,2,3,1.0,1.0,0.4,0.4,0.739,0.635
mistral-large,35,18,21,0.069,4,24,23,0.042,3,0.75,0.913,0.832,12,2,4,2,2,2,0.889,12,9,3,2,3,4,1.0,1.0,0.222,0.75,0.889,0.715
mistral-large,36,30,39,0.045,10,47,51,0.024,7,0.638,0.765,0.702,20,2,8,2,5,2,0.8,26,13,8,2,5,3,1.0,0.769,0.154,1.0,0.8,0.681
mistral-large,37,23,30,0.059,8,20,21,0.055,4,0.87,0.7,0.785,10,2,11,3,3,2,0.783,12,7,1,1,2,4,1.0,0.833,0.286,0.091,0.783,0.498
mistral-large,38,23,26,0.051,4,28,29,0.038,3,0.821,0.897,0.859,11,4,8,2,3,3,0.783,18,5,5,2,4,3,1.0,0.611,0.8,0.625,0.783,0.705
mistral-large,39,35,44,0.037,10,27,27,0.038,2,0.771,0.614,0.693,15,2,18,2,3,2,0.714,17,6,4,2,4,3,1.0,0.882,0.333,0.222,0.714,0.538
mistral-large,40,20,24,0.063,5,23,23,0.045,3,0.87,0.958,0.914,10,2,8,2,2,2,0.75,8,9,6,2,3,4,1.0,0.8,0.222,0.75,0.75,0.631
mistral-large,41,21,25,0.06,5,27,29,0.041,4,0.778,0.862,0.82,13,2,6,2,2,2,0.81,17,5,5,2,2,2,1.0,0.765,0.4,0.833,0.81,0.702
mistral-large,42,16,18,0.075,3,14,13,0.071,0,0.875,0.722,0.799,8,3,5,2,3,3,0.812,9,4,1,1,4,3,1.0,0.889,0.75,0.2,0.812,0.663
mistral-large,43,21,25,0.06,5,32,32,0.032,3,0.656,0.781,0.719,13,2,6,2,5,2,0.81,18,7,7,2,4,3,1.0,0.722,0.286,0.857,0.81,0.669
mistral-large,44,28,32,0.042,5,22,23,0.05,3,0.786,0.719,0.752,15,3,10,2,2,3,0.75,12,6,4,2,3,3,1.0,0.8,0.5,0.4,0.75,0.613
mistral-large,45,25,29,0.048,5,28,27,0.036,2,0.893,0.931,0.912,13,2,10,2,3,2,0.72,16,8,4,2,5,3,1.0,0.812,0.25,0.4,0.72,0.546
mistral-large,46,20,23,0.061,4,26,27,0.042,3,0.769,0.852,0.811,11,2,7,2,2,2,0.8,14,5,7,2,4,2,1.0,0.786,0.4,1.0,0.8,0.746
mistral-large,47,27,32,0.046,6,19,21,0.061,3,0.704,0.656,0.68,13,2,12,2,2,2,0.704,12,3,4,1,4,2,1.0,0.923,0.667,0.333,0.704,0.657
mistral-large,48,21,25,0.06,5,15,16,0.076,2,0.714,0.64,0.677,11,2,8,2,3,2,0.619,11,2,2,1,3,2,1.0,1.0,1.0,0.25,0.619,0.717
mistral-large,49,18,20,0.065,3,19,19,0.056,3,0.947,0.95,0.949,10,2,6,2,1,2,0.556,8,7,4,2,2,2,1.0,0.8,0.286,0.667,0.556,0.577
mistral-large,50,11,11,0.1,1,11,11,0.1,1,1.0,1.0,1.0,7,2,2,1,1,2,0.636,6,3,2,1,1,2,1.0,0.857,0.667,1.0,0.636,0.79
