PMR,Model,Nodes,Tasks,Events,Gateways,Exclusive Gateways,Parallel Gateways,Inclusive Gateways,Gateway Decisions,Gateway Types Count,Sequence Flows
process_01,mistral-large,11,7,3,1,1,0,0,1,1,10
process_02,mistral-large,23,14,3,6,6,0,0,6,1,24
process_03,mistral-large,10,7,2,1,1,0,0,1,1,10
process_04,mistral-large,11,8,3,0,0,0,0,0,0,10
process_05,mistral-large,13,8,3,2,2,0,0,2,1,13
process_06,mistral-large,12,8,3,1,1,0,0,1,1,12
process_07,mistral-large,12,9,3,0,0,0,0,0,0,11
process_08,mistral-large,14,11,2,1,1,0,0,1,1,15
process_09,mistral-large,17,11,3,3,3,0,0,3,1,17
process_10,mistral-large,17,11,4,2,2,0,0,2,1,17
process_11,mistral-large,7,5,2,0,0,0,0,0,0,6
process_12,mistral-large,20,13,2,5,3,2,0,3,2,24
process_13,mistral-large,11,8,2,1,1,0,0,1,1,11
process_14,mistral-large,10,7,2,1,1,0,0,1,1,10
process_15,mistral-large,9,5,3,1,1,0,0,1,1,9
process_16,mistral-large,20,14,2,4,2,2,0,2,2,23
process_17,mistral-large,22,13,3,6,4,2,0,4,2,27
process_18,mistral-large,27,17,4,6,4,2,0,4,2,32
process_19,mistral-large,17,10,2,5,3,2,0,3,2,19
process_20,mistral-large,12,8,2,2,0,2,0,0,1,13
process_21,mistral-large,18,10,2,6,2,4,0,2,2,21
process_22,mistral-large,13,7,3,3,3,0,0,3,1,15
process_23,mistral-large,11,7,3,1,1,0,0,1,1,10
process_24,mistral-large,16,13,3,0,0,0,0,0,0,15
process_25,mistral-large,11,6,4,1,1,0,0,1,1,13
process_26,mistral-large,13,7,5,1,1,0,0,1,1,13
process_27,mistral-large,16,8,4,4,4,0,0,4,1,20
process_28,mistral-large,19,8,7,4,2,2,0,2,2,22
process_30,mistral-large,22,12,5,5,3,2,0,3,2,25
process_31,mistral-large,12,6,3,3,1,2,0,1,2,15
process_32,mistral-large,23,15,4,4,2,2,0,2,2,36
process_33,mistral-large,16,9,3,4,2,2,0,2,2,19
process_34,mistral-large,9,5,2,2,0,2,0,0,1,9
process_35,mistral-large,9,4,4,1,1,0,0,1,1,9
process_36,mistral-large,21,12,5,4,2,2,0,2,2,23
process_37,mistral-large,11,6,4,1,1,0,0,1,1,14
process_38,mistral-large,19,13,3,3,1,2,0,1,2,20
process_39,mistral-large,17,10,4,3,1,2,0,1,2,18
process_40,mistral-large,7,2,3,2,0,2,0,0,1,8
process_41,mistral-large,15,10,3,2,2,0,0,2,1,16
process_42,mistral-large,14,9,4,1,1,0,0,1,1,13
process_43,mistral-large,10,4,5,1,1,0,0,1,1,9
process_44,mistral-large,12,7,4,1,1,0,0,1,1,13
process_45,mistral-large,13,7,3,3,2,1,0,2,2,15
process_47,mistral-large,19,12,3,4,4,0,0,4,1,21
process_48,mistral-large,15,11,2,2,2,0,0,2,1,16
process_49,mistral-large,7,2,3,2,1,1,0,1,2,9
process_50,mistral-large,11,6,3,2,2,0,0,2,1,11
process_51,mistral-large,8,5,2,1,1,0,0,1,1,8
process_52,mistral-large,7,2,4,1,1,0,0,1,1,5
process_53,mistral-large,7,4,2,1,1,0,0,1,1,7
process_54,mistral-large,7,4,2,1,1,0,0,1,1,7
process_55,mistral-large,31,25,2,4,3,0,1,4,2,35
