PMR,Model,Nodes,Tasks,Events,Gateways,Exclusive Gateways,Parallel Gateways,Inclusive Gateways,Gateway Decisions,Gateway Types Count,Sequence Flows
processes_01,mistral-medium,11,7,3,1,1,0,0,1,1,10
processes_02,mistral-medium,16,9,5,2,2,0,0,2,1,15
processes_03,mistral-medium,11,9,2,0,0,0,0,0,0,10
processes_04,mistral-medium,10,8,2,0,0,0,0,0,0,9
processes_05,mistral-medium,12,8,2,2,2,0,0,2,1,12
processes_06,mistral-medium,9,7,2,0,0,0,0,0,0,8
processes_07,mistral-medium,12,9,3,0,0,0,0,0,0,11
processes_08,mistral-medium,15,12,2,1,1,0,0,1,1,16
processes_09,mistral-medium,15,9,3,3,3,0,0,3,1,15
processes_10,mistral-medium,11,5,3,3,3,0,0,3,1,12
processes_11,mistral-medium,13,7,3,3,1,2,0,1,2,17
processes_12,mistral-medium,19,12,3,4,2,2,0,2,2,20
processes_13,mistral-medium,13,9,3,1,1,0,0,1,1,13
processes_14,mistral-medium,11,7,2,2,2,0,0,2,1,12
processes_15,mistral-medium,15,7,3,5,3,2,0,3,2,17
processes_16,mistral-medium,20,13,2,5,3,2,0,3,2,28
processes_17,mistral-medium,27,17,3,7,5,2,0,5,2,31
processes_18,mistral-medium,29,15,6,8,6,2,0,6,2,37
processes_19,mistral-medium,13,7,2,4,2,2,0,2,2,15
processes_20,mistral-medium,17,10,3,4,2,2,0,2,2,20
processes_21,mistral-medium,19,12,2,5,3,2,0,3,2,22
processes_22,mistral-medium,19,8,8,3,3,0,0,3,1,17
processes_23,mistral-medium,11,7,3,1,1,0,0,1,1,10
processes_24,mistral-medium,15,12,3,0,0,0,0,0,0,14
processes_25,mistral-medium,6,3,3,0,0,0,0,0,0,7
processes_26,mistral-medium,20,10,4,6,2,4,0,2,2,21
processes_27,mistral-medium,19,11,5,3,3,0,0,3,1,25
processes_28,mistral-medium,24,12,6,6,2,4,0,2,2,28
processes_29,mistral-medium,15,7,5,3,1,2,0,1,2,14
processes_30,mistral-medium,24,13,4,7,3,4,0,3,2,27
processes_31,mistral-medium,27,16,5,6,4,2,0,4,2,30
processes_32,mistral-medium,33,22,5,6,2,0,4,6,2,51
processes_33,mistral-medium,14,9,3,2,0,2,0,0,1,15
processes_34,mistral-medium,10,6,2,2,0,2,0,0,1,12
processes_35,mistral-medium,6,4,2,0,0,0,0,0,0,7
processes_36,mistral-medium,21,15,2,4,0,4,0,0,1,27
processes_37,mistral-medium,3,1,2,0,0,0,0,0,0,4
processes_38,mistral-medium,18,13,4,1,1,0,0,1,1,19
processes_39,mistral-medium,10,7,2,1,1,0,0,1,1,11
processes_40,mistral-medium,4,1,3,0,0,0,0,0,0,3
processes_41,mistral-medium,13,7,3,3,3,0,0,3,1,13
processes_42,mistral-medium,23,14,8,1,1,0,0,1,1,21
processes_43,mistral-medium,10,4,5,1,1,0,0,1,1,9
processes_44,mistral-medium,10,6,3,1,1,0,0,1,1,11
processes_45,mistral-medium,16,9,3,4,2,2,0,2,2,18
processes_46,mistral-medium,20,12,3,5,3,2,0,3,2,22
processes_47,mistral-medium,22,12,4,6,6,0,0,6,1,22
processes_48,mistral-medium,14,9,2,3,1,2,0,1,2,16
processes_49,mistral-medium,17,10,3,4,3,1,0,3,2,19
processes_50,mistral-medium,12,6,3,3,3,0,0,3,1,11
processes_51,mistral-medium,9,5,3,1,1,0,0,1,1,8
processes_52,mistral-medium,8,4,2,2,2,0,0,2,1,8
processes_53,mistral-medium,8,4,3,1,1,0,0,1,1,7
processes_54,mistral-medium,8,4,3,1,1,0,0,1,1,7
processes_55,mistral-medium,27,21,2,4,2,0,2,4,2,30
